1/2; 0.000002; 0.000001; 0.000000
1001/2002; 0.000084; 0.000591; 0.000003
2001/4002; 0.000166; 0.001213; 0.000005
3001/6002; 0.000258; 0.002229; 0.000007
4001/8002; 0.000339; 0.004006; 0.000021
5001/10002; 0.000417; 0.005645; 0.000013
6001/12002; 0.000520; 0.005522; 0.000008
7001/14002; 0.000585; 0.005605; 0.000009
8001/16002; 0.001245; 0.009114; 0.000015
9001/18002; 0.000736; 0.011067; 0.000014
10001/20002; 0.001211; 0.010120; 0.000009
11001/22002; 0.000888; 0.011527; 0.000036
